"Reporting starts","Reporting ends","Ad Set Name",Age,Gender,Impressions,Reach,"Clicks (all)",ThruPlays,"Post engagements"
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,unknown,4,4,0,,3
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,male,606,590,23,76,414
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,female,797,797,37,123,523
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,unknown,10,8,2,3,8
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,male,478,470,13,58,279
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,female,664,644,37,96,406
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,unknown,8,8,0,1,4
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,male,384,384,7,26,188
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,female,485,462,19,46,262
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,unknown,2,2,0,,1
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,male,410,410,7,22,161
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,female,485,476,19,40,213
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,unknown,5,4,1,,2
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,male,297,282,4,21,95
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,female,327,327,12,24,127
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,unknown,1,1,0,,1
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,male,69,68,2,10,26
2025-06-20,2025-06-20,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,female,79,68,0,9,34
2025-06-19,2025-06-19,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,unknown,11,11,2,1,5
2025-06-19,2025-06-19,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,male,1530,1424,45,175,967
2025-06-19,2025-06-19,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,female,2097,1976,101,341,1366
